Environment                   Seed          Algorithm  Error  Amount    Episode  Reward  Feedback
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      125      80      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      126      85      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      127      76      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      128      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      129      76      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      130      87      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      131      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      132      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      133      85      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      134      82      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      135      74      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      136      76      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      137      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      138      84      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      139      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      140      80      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      141      80      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      142      82      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      143      80      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      144      85      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      145      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      146      85      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      147      80      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      148      87      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      149      87      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      150      74      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      151      79      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      152      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      153      78      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      154      85      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      155      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      156      80      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      157      78      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      158      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      159      87      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      160      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      161      76      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      162      83      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      163      74      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      164      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      165      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      166      82      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      167      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      168      84      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      169      85      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      170      85      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      171      87      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      172      87      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      173      82      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      174      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      175      84      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      176      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      177      78      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      178      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      179      80      0.0000
