Environment                   Seed       Algorithm Error  Episode  Reward  Feedback
MountainCarContinuous-v0      js67833    DCOACH   0      165      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      166      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      167      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      168      -28     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      169      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      170      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      171      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      172      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      173      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      174      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      175      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      176      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      177      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      178      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      179      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      180      74      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      181      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      182      85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      183      85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      184      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      185      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      186      -28     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      187      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      188      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      189      -28     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      190      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      191      81      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      192      89      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      193      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      194      87      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      195      83      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      196      85      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      197      -29     0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      198      77      0.0000
MountainCarContinuous-v0      js67833    DCOACH   0      199      85      0.0000
