Environment              	  Seed       Control  Tau    Error Q_bias    Episode  Reward  Gain   Feedback
Pendulum-v0                   185611103  kalman   0.5    0     0.2       65       -122    2.9230 0.0150
Pendulum-v0                   185611103  kalman   0.5    0     0.2       66       -340    2.6400 0.0200
Pendulum-v0                   185611103  kalman   0.5    0     0.2       67       -116    2.9317 0.0100
Pendulum-v0                   185611103  kalman   0.5    0     0.2       68       -122    2.7700 0.0550
Pendulum-v0                   185611103  kalman   0.5    0     0.2       69       -124    2.9513 0.0150
Pendulum-v0                   185611103  kalman   0.5    0     0.2       70       -128    2.9027 0.0000
Pendulum-v0                   185611103  kalman   0.5    0     0.2       71       -124    2.9058 0.0100
Pendulum-v0                   185611103  kalman   0.5    0     0.2       72       -243    2.6690 0.0350
Pendulum-v0                   185611103  kalman   0.5    0     0.2       73       -116    2.8101 0.0200
Pendulum-v0                   185611103  kalman   0.5    0     0.2       74       -123    2.9285 0.0050
Pendulum-v0                   185611103  kalman   0.5    0     0.2       75       0       2.9490 0.0700
Pendulum-v0                   185611103  kalman   0.5    0     0.2       76       -125    2.8263 0.0300
Pendulum-v0                   185611103  kalman   0.5    0     0.2       77       -2      2.8624 0.0150
Pendulum-v0                   185611103  kalman   0.5    0     0.2       78       -254    2.6450 0.0100
Pendulum-v0                   185611103  kalman   0.5    0     0.2       79       -127    2.8610 0.0450
Pendulum-v0                   185611103  kalman   0.5    0     0.2       80       -235    2.7885 0.0400
Pendulum-v0                   185611103  kalman   0.5    0     0.2       81       -246    2.7669 0.0150
Pendulum-v0                   185611103  kalman   0.5    0     0.2       82       -242    2.8293 0.0000
Pendulum-v0                   185611103  kalman   0.5    0     0.2       83       -126    2.8443 0.0400
Pendulum-v0                   185611103  kalman   0.5    0     0.2       84       -118    2.9343 0.0200
Pendulum-v0                   185611103  kalman   0.5    0     0.2       85       -122    2.9599 0.0150
Pendulum-v0                   185611103  kalman   0.5    0     0.2       86       -238    2.8214 0.0100
Pendulum-v0                   185611103  kalman   0.5    0     0.2       87       -126    2.9041 0.0150
Pendulum-v0                   185611103  kalman   0.5    0     0.2       88       -246    2.7692 0.0200
Pendulum-v0                   185611103  kalman   0.5    0     0.2       89       -128    2.9135 0.0200
